Bear,Date,Time,Latitude,Longitude
1,13.04.2014,22:00:29,71.1520991,-148.9482711
1,13.04.2014,22:30:30,71.1522102,-148.9492975
1,13.04.2014,23:00:16,71.1525675,-148.9482403
1,13.04.2014,23:30:09,71.1532128,-148.9571334
1,14.04.2014,0:00:08,71.1545484,-148.9596103
1,14.04.2014,0:30:09,71.1538706,-148.955538
1,14.04.2014,1:00:30,71.150828,-148.9410882
1,14.04.2014,1:30:48,71.1514171,-148.9415751
1,14.04.2014,2:00:08,71.1530419,-148.9462935
1,14.04.2014,2:30:09,71.1535344,-148.9483643
1,14.04.2014,3:00:25,71.1548526,-148.9539743
1,14.04.2014,3:30:08,71.1552924,-148.955437
1,14.04.2014,4:00:08,71.1557235,-148.9571282
1,14.04.2014,4:30:11,71.1559859,-148.9622297
1,14.04.2014,5:00:22,71.1563617,-148.9639973
1,14.04.2014,5:30:16,71.1566994,-148.9656321
1,14.04.2014,6:00:01,71.1568096,-148.967272
1,14.04.2014,6:30:48,71.1571837,-148.9697488
1,14.04.2014,7:00:08,71.1574055,-148.9719738
1,14.04.2014,7:30:07,71.1575822,-148.9742322
1,14.04.2014,8:00:09,71.1576467,-148.9759346
1,14.04.2014,8:30:17,71.1575731,-148.9776421
1,14.04.2014,9:00:10,71.1575825,-148.979592
1,14.04.2014,9:30:19,71.1578215,-148.981741
1,14.04.2014,10:00:09,71.1581026,-148.9835808
1,14.04.2014,10:30:07,71.1583794,-148.9854824
1,14.04.2014,11:00:11,71.1586968,-148.9872889
1,14.04.2014,11:31:33,71.1589661,-148.9892146
1,14.04.2014,12:00:07,71.1593055,-148.9912066
1,14.04.2014,12:30:22,71.1597644,-148.9948441
1,14.04.2014,13:00:15,71.1603523,-148.9981154
1,14.04.2014,13:30:08,71.1608748,-149.0010207
1,14.04.2014,14:00:15,71.1625719,-149.0113784
1,14.04.2014,14:30:16,71.1638333,-149.0192312
1,14.04.2014,15:00:29,71.1644301,-149.0304774
1,14.04.2014,15:30:08,71.1646726,-149.0481802
1,14.04.2014,16:00:15,71.1653562,-149.0603841
1,14.04.2014,16:30:19,71.1640539,-149.0675044
1,14.04.2014,17:00:29,71.1652405,-149.0809134
1,14.04.2014,17:30:30,71.165947,-149.0815146
1,14.04.2014,18:00:15,71.1654774,-149.0812328
1,14.04.2014,18:30:08,71.1653261,-149.0817748
1,14.04.2014,19:00:30,71.1725701,-149.0989542
2,09.04.2014,3:00:28,70.5081613,-147.9860868
2,09.04.2014,3:30:53,70.5081118,-147.9866302
2,09.04.2014,4:00:27,70.5081351,-147.9866928
2,09.04.2014,4:30:30,70.5081471,-147.9866928
2,09.04.2014,5:00:05,70.5081979,-147.9869461
2,09.04.2014,5:30:12,70.508171,-147.986855
2,09.04.2014,6:00:19,70.5081931,-147.9868152
2,09.04.2014,6:30:13,70.5081948,-147.9866217
2,09.04.2014,7:00:05,70.5081847,-147.9866814
2,09.04.2014,7:30:12,70.5081763,-147.9865932
2,09.04.2014,8:00:11,70.5081177,-147.9857539
2,09.04.2014,8:30:05,70.5080529,-147.9857283
2,09.04.2014,9:00:14,70.5080517,-147.9850995
2,09.04.2014,9:30:06,70.5080063,-147.9850967
2,09.04.2014,10:00:11,70.5080592,-147.9849857
2,09.04.2014,10:30:06,70.5080559,-147.9849488
2,09.04.2014,11:00:13,70.5080571,-147.9849345
2,09.04.2014,11:30:26,70.5080577,-147.9850085
2,09.04.2014,12:00:13,70.5080691,-147.98498
2,09.04.2014,12:30:14,70.5080879,-147.9849743
2,09.04.2014,13:00:07,70.5080631,-147.9850711
2,09.04.2014,13:30:16,70.5080789,-147.9850654
2,09.04.2014,14:00:30,70.5080425,-147.9849715
2,09.04.2014,14:30:07,70.5080436,-147.9849573
2,09.04.2014,15:00:14,70.5080553,-147.9849658
2,09.04.2014,15:30:14,70.5080586,-147.9849573
2,09.04.2014,16:00:07,70.5080571,-147.9849345
2,09.04.2014,16:30:07,70.5080499,-147.9849488
2,09.04.2014,17:00:14,70.5081016,-147.9851251
2,09.04.2014,17:30:15,70.5080595,-147.9851138
2,09.04.2014,18:00:30,70.5080419,-147.9850142
2,09.04.2014,18:30:14,70.5080419,-147.9850142
2,09.04.2014,19:00:07,70.5080441,-147.9851366
2,09.04.2014,19:30:07,70.5080441,-147.9850911
2,09.04.2014,20:00:08,70.5080543,-147.9850768
2,09.04.2014,20:30:24,70.5080484,-147.985017
2,09.04.2014,21:00:06,70.5080514,-147.985017
2,09.04.2014,21:30:14,70.5080496,-147.9850028
2,09.04.2014,22:00:15,70.5080469,-147.9849943
2,09.04.2014,22:30:17,70.5079998,-147.9850028
2,09.04.2014,23:00:15,70.5080251,-147.985
2,09.04.2014,23:30:26,70.5080532,-147.9850313
2,10.04.2014,0:00:14,70.5080293,-147.9850313
2,10.04.2014,0:30:15,70.5080897,-147.9851508
2,10.04.2014,1:00:07,70.508055,-147.985091
2,10.04.2014,1:30:25,70.5080592,-147.9850313
2,10.04.2014,2:00:08,70.5080443,-147.9850313
2,10.04.2014,2:29:59,70.5080424,-147.985017
2,10.04.2014,3:00:07,70.5080251,-147.985091
2,10.04.2014,3:30:14,70.5080021,-147.9849488
2,10.04.2014,4:00:22,70.5022575,-147.9914055
2,10.04.2014,4:30:15,70.5023134,-147.9913855
2,10.04.2014,5:00:15,70.5023009,-147.9913827
2,10.04.2014,5:30:14,70.4992268,-148.005731
2,10.04.2014,6:00:14,70.495347,-147.9871699
2,10.04.2014,6:30:29,70.4951876,-147.9731063
2,10.04.2014,7:00:15,70.495236,-147.9731546
2,10.04.2014,7:30:19,70.4942713,-147.9771561
2,10.04.2014,8:00:30,70.4942174,-147.9765279
2,10.04.2014,8:30:17,70.4939071,-147.9764656
2,10.04.2014,9:00:07,70.4939005,-147.9763917
2,10.04.2014,9:30:08,70.493876,-147.9763889
2,10.04.2014,10:00:30,70.493899,-147.9763689
2,10.04.2014,10:30:14,70.4955119,-147.9657841
2,10.04.2014,11:00:15,70.4955774,-147.9657926
2,10.04.2014,11:30:29,70.4954949,-147.9658041
2,10.04.2014,12:00:16,70.49551,-147.9658154
2,10.04.2014,12:30:07,70.4955026,-147.9657471
2,10.04.2014,13:00:09,70.4955471,-147.9657556
2,10.04.2014,13:30:15,70.4955493,-147.9658068
2,10.04.2014,14:00:29,70.4955283,-147.9658068
2,10.04.2014,14:30:17,70.4991455,-147.969004
2,10.04.2014,15:00:08,70.504903,-147.9594041
2,10.04.2014,15:30:09,70.5067575,-147.9404444
2,10.04.2014,16:00:23,70.5067623,-147.9404587
2,10.04.2014,16:30:08,70.5107017,-147.9184518
2,10.04.2014,17:00:16,70.5187307,-147.876683
2,10.04.2014,17:30:08,70.5186053,-147.8687158
2,10.04.2014,18:00:01,70.5185715,-147.8686761
2,10.04.2014,18:30:30,70.5186169,-147.8686788
2,10.04.2014,19:00:10,70.518608,-147.8686788
2,10.04.2014,19:30:09,70.5185874,-147.8687158
2,10.04.2014,20:00:01,70.5185794,-147.8687359
2,10.04.2014,20:30:08,70.5186012,-147.8687301
2,10.04.2014,21:00:10,70.5186418,-147.8687184
2,10.04.2014,21:30:32,70.518597,-147.8687444
2,10.04.2014,22:00:00,70.5186015,-147.8687671
2,10.04.2014,22:30:08,70.5185839,-147.8687587
2,10.04.2014,23:00:08,70.518594,-147.8687444
2,10.04.2014,23:30:25,70.5186015,-147.8687671
2,11.04.2014,0:00:09,70.5185925,-147.8687671
2,11.04.2014,0:30:08,70.5185952,-147.8687756
2,11.04.2014,1:00:09,70.5188064,-147.8680826
2,11.04.2014,1:30:01,70.5201573,-147.8573838
2,11.04.2014,2:00:09,70.5201588,-147.857361
2,11.04.2014,2:30:29,70.52016,-147.8573013
2,11.04.2014,3:00:09,70.5201513,-147.8572928
2,11.04.2014,3:30:10,70.5201719,-147.8573013
2,11.04.2014,4:00:01,70.5201761,-147.857287
2,11.04.2014,4:30:19,70.5201928,-147.8573013
2,11.04.2014,5:00:10,70.5202028,-147.8566548
2,11.04.2014,5:30:09,70.5263154,-147.8215883
2,11.04.2014,6:00:09,70.5319553,-147.8077615
2,11.04.2014,6:30:09,70.5319553,-147.8077615
2,11.04.2014,7:00:30,70.5319628,-147.8077842
2,11.04.2014,7:30:17,70.5348271,-147.7963106
2,11.04.2014,8:00:07,70.5412421,-147.7782821
2,11.04.2014,8:30:09,70.5479088,-147.7483597
2,11.04.2014,9:00:09,70.5479114,-147.7483226
2,11.04.2014,9:30:02,70.5479485,-147.7483538
2,11.04.2014,10:00:22,70.5479335,-147.7483083
2,11.04.2014,10:30:17,70.5479058,-147.7483597
2,11.04.2014,11:00:09,70.5478953,-147.748337
2,11.04.2014,11:30:02,70.547903,-147.7483058
2,11.04.2014,12:00:10,70.5479064,-147.7483429
2,11.04.2014,12:30:10,70.5479177,-147.7483142
2,11.04.2014,13:00:09,70.5483503,-147.7469947
2,11.04.2014,13:30:19,70.5562939,-147.7314879
2,11.04.2014,14:00:16,70.5568617,-147.7153003
